ASV_ID	Taxon	F_Group	P_Group	FDR_Group
ASV_00177	Lactobacillaceae_Ligilactobacillus	4.689513170785631	0.027192760835895297	1
ASV_00276	Oscillospiraceae_UCG-005	4.544492913573289	0.02920093833256302	1
ASV_00452	Sanguibacteraceae_Sanguibacter-Flavimobilis	5.107487628497661	0.029211904852971295	1
ASV_01747	[Clostridium] methylpentosum group_Unclassified	6.089737131649319	0.029883836362001145	1
ASV_01108	Rhizobiaceae_Paenochrobactrum	6.291069320673564	0.030163534397889467	1
ASV_02276	Nocardiaceae_Rhodococcus	7.412711617860768	0.030179676989161332	1
ASV_01344	Propionibacteriaceae_Tessaracoccus	5.096836570299729	0.03137864316492128	1
ASV_01027	Erysipelatoclostridiaceae_UCG-004	4.604076521887582	0.031731348407649	1
ASV_00375	Butyricicoccaceae_UCG-009	4.462082459600249	0.03255275265497416	1
ASV_01420	Rhodobacteraceae_Paracoccus	5.54758817802814	0.0336352361532618	1
ASV_00148	Erysipelotrichaceae_Solobacterium	4.282404289037279	0.03651989087786023	1
ASV_00003	Peptostreptococcaceae_Terrisporobacter	4.176371691888951	0.040076428221196995	1
ASV_01483	Sutterellaceae_Parasutterella	5.106526512298032	0.04069337024588429	1
ASV_00175	Lachnospiraceae_Lachnospiraceae NK3A20 group	4.236143059243113	0.04069510233540624	1
ASV_00058	Lachnospiraceae_Dorea	4.130547789117891	0.041891720488528426	1
ASV_00305	Lachnospiraceae_Shuttleworthia	4.145000589040066	0.0423025313033117	1
ASV_00378	Intrasporangiaceae_Knoellia	0.0221158172719937	0.04371623761264421	1
ASV_00200	Prevotellaceae_Prevotella_9	0.022701241655391995	0.04487423032971944	1
ASV_01513	Spirochaetaceae_Sphaerochaeta	5.815973998933095	0.04782888238581181	1
ASV_00115	Eggerthellaceae_Unclassified	3.953367135012914	0.04877330135523925	1
ASV_00004	Lactobacillaceae_HT002	3.8813813408395283	0.05197977463961252	1
ASV_00407	Lachnospiraceae_Fusicatenibacter	4.051033382819204	0.054045751180777035	1
ASV_00321	Ruminococcaceae_Negativibacillus	3.9928856515592237	0.054832507355093485	1
ASV_00159	Eggerthellaceae_Senegalimassilia	3.771817760891963	0.05811351092376033	1
ASV_01493	Actinomycetaceae_Arcanobacterium	0.029588851950224256	0.058156780349770856	1
ASV_02044	Alcaligenaceae_Unclassified	5.596235872524192	0.060376273452704826	1
ASV_00392	Hungateiclostridiaceae_Fastidiosipila	0.032118926192532544	0.0631601659626511	1
ASV_01278	Prevotellaceae_Prevotellaceae UCG-001	3.8665710824310793	0.07135427755442347	1
