Comparison	Genus	mean_g1	mean_g2	log2FoldChange	pvalue	p_adj
Group2_vs_Group1	[Ruminococcus] gauvreauii group	0.022919229956442442	0.0057859758180878774	-1.7714276796511845	2.841244467780658e-4	0.001735855196738986
Group2_vs_Group1	Paludicola	5.25786180277579e-5	3.3884108171682834e-4	1.488168208013709	3.803201004774575e-4	0.0019432413893008778
Group2_vs_Group1	Parabacteroides	0.0010883139424875483	0.023735129313816813	2.0861030766137114	3.84744889149097e-4	0.0019658497985720284
Group2_vs_Group1	Unclassified	0.002942389210457613	0.04697422643547555	2.2520211849877034	3.877000607802751e-4	0.002368649276445915
Group2_vs_Group1	Christensenellaceae R-7 group	0.00283378767814951	5.454817525017948e-4	-1.6668657931207358	7.634702318544553e-4	0.004664413022351673
Group2_vs_Group1	Lachnospiraceae UCG-010	2.6970683443285663e-5	2.6169699782456685e-4	1.7075932031936147	8.645382268064678e-4	0.005281886830927106
Group2_vs_Group1	Sphingobacterium	9.71486981132297e-4	1.1643258967369526e-4	-1.828752654127212	0.0010872653489184003	0.005555370395933432
Group2_vs_Group1	Unclassified	2.302324469280395e-4	2.6804922239142012e-6	-1.9921219748448034	0.0011103476114767655	0.005673308963749897
Group2_vs_Group1	Atopostipes	6.851730484301726e-6	4.248884200796071e-4	1.509984718890892	0.0011364933308737675	0.005806900230741878
Group2_vs_Group1	Candidatus Saccharimonas	4.0554354613141463e-4	0.003300857870070438	1.8923968083951581	9.936083937140715e-4	0.006070439602472102
Group2_vs_Group1	Erysipelothrix	0.0016253028906481931	0.0010476444582007399	-1.6602131770852773	0.0012703782331396373	0.00649098367297625
Group2_vs_Group1	Erysipelotrichaceae UCG-009	0.0039965046674840625	5.70987348593581e-4	-1.8368953663760845	0.001272643120601398	0.006502556090664077
Group2_vs_Group1	Lachnospiraceae ND3007 group	3.552081726493069e-5	4.8794492309637693e-4	1.5991746223187202	0.0011928443232633937	0.007287669332638399
