Kingdom	Phylum	Class	Order	Family	Genus	Species	0-12	0-13	0-22	0-23	0-32	0-33	0-42	0-43	0-52	0-53	0-62	0-63	0-72	0-73	0-82	0-83	21-11	21-12	21-13	21-21	21-22	21-23	21-31	21-32	21-33	21-41	21-42	21-43	21-51	21-52	21-53	21-61	21-62	21-63	21-71	21-72	21-73	21-81	21-82	21-83	35-11	35-12	35-21	35-22	35-23	35-31	35-32	35-33	35-41	35-42	35-43	35-51	35-52	35-53	35-61	35-62	35-63	35-71	35-72	35-73	35-81	35-82	35-83
Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	fermentans	0	0	0	0	0	0	0	0	0	0	5	0	0	0	10	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	Unclassified	0	0	0	0	39	0	20	27	21	0	15	0	0	0	0	0	0	0	0	0	8	55	0	53	58	0	67	0	763	0	0	146	27	0	55	172	147	0	63	33	40	27	81	0	0	67	0	0	197	15	181	0	15	96	33	0	0	361	233	19	0	0	162
Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	succinatutens	0	0	8	45	0	23	0	0	0	30	88	47	66	0	41	81	0	0	94	0	0	0	30	0	187	18	0	109	459	0	32	189	0	151	86	136	57	0	0	0	0	0	256	79	48	75	223	0	90	0	94	0	0	0	106	41	64	289	377	0	0	82	0
Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Succiniclasticum	Unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Anaerovibrio	Unclassified	0	0	0	0	6	0	0	0	0	6	13	9	14	81	13	0	4	66	543	0	6	0	0	66	500	0	9	1030	6	13	102	0	0	130	0	168	151	0	126	22	97	17	15	15	35	0	20	17	45	0	102	40	32	129	14	0	25	24	45	28	9	20	184
Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Megamonas	Unclassified	0	0	0	0	0	0	0	0	10	0	0	4	21	0	0	0	0	0	13	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Mitsuokella	Unclassified	0	0	30	5	8	4	0	0	3	0	369	0	20	0	0	0	246	0	0	0	2	0	5	102	219	0	7	0	0	63	87	0	14	5	0	29	0	0	144	0	0	0	0	0	0	0	42	97	2	8	330	60	83	0	0	7	0	0	0	0	0	8	0
Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Mitsuokella	jalaludinii	0	17	94	0	0	0	0	8	12	0	262	8	47	0	69	0	305	0	0	0	10	0	0	220	364	0	17	0	0	85	224	0	32	21	0	72	0	0	206	0	0	0	0	0	13	0	85	252	6	0	503	168	87	0	8	12	0	0	0	0	0	0	0
Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Quinella	Unclassified	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Schwartzia	Unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	26	0	0	0	0	0	0	0	0	7
