Kingdom	Phylum	Class	Order	Family	Genus	0-12	0-13	0-22	0-23	0-32	0-33	0-42	0-43	0-52	0-53	0-62	0-63	0-72	0-73	0-82	0-83	21-11	21-12	21-13	21-21	21-22	21-23	21-31	21-32	21-33	21-41	21-42	21-43	21-51	21-52	21-53	21-61	21-62	21-63	21-71	21-72	21-73	21-81	21-82	21-83	35-11	35-12	35-21	35-22	35-23	35-31	35-32	35-33	35-41	35-42	35-43	35-51	35-52	35-53	35-61	35-62	35-63	35-71	35-72	35-73	35-81	35-82	35-83
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	2152	511	1149	736	2371	970	2842	319	4586	1010	1045	2237	1476	1420	386	2514	15013	2229	6477	5926	7204	19816	2697	319	10362	4212	5392	439	3147	21968	577	6880	5857	5948	19367	11267	454	15630	352	6445	478	546	4491	2396	2606	7581	2444	1276	1266	5959	2104	6289	1813	5	13434	1245	1511	606	1805	6479	11389	5650	219
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Dietziaceae	Dietzia	44	43	420	29	126	27	15	37	18	0	0	28	55	0	0	0	9	0	16	380	77	152	57	0	95	186	68	4	21	26	0	74	146	72	184	301	5	219	7	0	0	0	16	0	0	0	14	14	19	22	0	8	13	0	64	28	6	0	9	0	35	117	0
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	0	0	16	0	37	0	0	0	13	0	0	0	0	0	0	0	0	19	34	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	9	0	0	12	0	0	6	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	AKAU3644	Unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	0	12	7	0	0	20	0	0	0	12	33	0	0	10	605	0	93	0	0	0	0	15	0	0	0	11	0	10	0	7	0	0	0	74	0	0	8	0	0	0	20	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Bogoriellaceae	Georgenia	17	0	78	0	23	20	12	0	19	0	0	0	33	0	0	0	0	0	0	36	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	23	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	196	49	907	104	271	593	92	199	129	0	20	7	151	0	27	0	544	5	16	333	6	41	38	6	69	76	21	0	32	335	0	32	8	135	253	275	0	271	0	0	8	0	9	0	0	92	25	23	0	0	0	93	3	0	109	0	0	0	0	0	70	24	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium	48	18	495	55	215	304	64	172	97	0	80	35	50	24	50	40	129	13	24	188	0	19	32	0	71	102	22	0	23	481	0	0	13	21	355	228	0	263	0	16	19	0	17	0	0	46	29	12	0	8	0	18	0	0	94	0	0	0	16	0	13	22	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Dermatophilaceae	Dermatophilus	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	5
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Knoellia	34	0	11	0	0	0	31	0	0	0	0	0	0	0	35	0	20	513	1174	22	5	12	5	16	23	0	27	50	0	9	79	7	30	89	0	20	114	0	135	46	12	70	0	9	40	0	0	17	35	0	56	0	0	97	0	0	0	0	0	19	7	0	158
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Ornithinimicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Serinicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Jonesiaceae	Jonesia	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	18	10	0	0	0	0	0	0	0	0	0	0	7	27	71	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Gulosibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	47	25	26	86	0	12	92	100	0	0	0	0	0	0	0	22	50	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Herbiconiux	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Leucobacter	35	129	318	70	328	252	100	327	391	0	22	100	383	25	33	75	183	169	754	158	153	108	103	22	104	175	91	10	101	130	0	46	38	12	836	931	0	281	17	0	31	15	59	12	0	31	25	34	50	70	67	55	37	0	50	0	11	24	0	9	41	121	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	15	0	121	0	84	31	32	0	38	0	0	0	94	0	0	0	0	6	132	0	0	0	0	0	11	0	17	0	23	0	0	0	22	9	66	90	10	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	8	0	0	20
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Pseudoclavibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
