Kingdom	Phylum	Class	0-12	0-13	0-22	0-23	0-32	0-33	0-42	0-43	0-52	0-53	0-62	0-63	0-72	0-73	0-82	0-83	21-11	21-12	21-13	21-21	21-22	21-23	21-31	21-32	21-33	21-41	21-42	21-43	21-51	21-52	21-53	21-61	21-62	21-63	21-71	21-72	21-73	21-81	21-82	21-83	35-11	35-12	35-21	35-22	35-23	35-31	35-32	35-33	35-41	35-42	35-43	35-51	35-52	35-53	35-61	35-62	35-63	35-71	35-72	35-73	35-81	35-82	35-83
Bacteria	Deinococcota	Deinococci	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Desulfobacterota	Desulfovibrionia	0	0	0	0	0	0	16	0	0	0	0	12	17	6	16	0	0	0	82	10	13	13	6	11	13	0	7	0	14	0	98	0	0	0	0	12	350	0	13	42	0	0	5	0	4	0	0	0	9	0	13	19	0	176	5	0	0	5	0	15	0	6	9
Bacteria	Desulfobacterota	Desulfuromonadia	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Elusimicrobiota	Elusimicrobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	5	0	0	0	4	0	0	0	30	0	0	4	0	9	0	0	0	0	0	0	0	0	6	0	0	143	0	0	0	0	0	12	0	0	288	0	10	0	2	15
Bacteria	Fibrobacterota	Fibrobacteria	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	Bacilli	101909	84735	151041	119288	50269	115825	222702	176799	176592	97476	141006	201538	165138	272693	196907	203128	39793	5217	63790	124713	201802	149151	109254	15979	154530	59388	110388	71040	98386	115941	81280	136224	56792	78341	99529	81751	27525	141064	21150	153277	24933	7198	181645	159348	152629	110751	37428	74975	113023	186371	164382	25492	30197	23419	188003	32111	215759	184898	161198	156893	195174	67068	115614
Bacteria	Firmicutes	Clostridia	73631	81325	47182	76701	136000	109488	62358	96118	88431	21138	196217	98463	124748	35105	68507	54596	68533	160552	177621	70897	53405	138026	103378	258342	147172	137966	134068	224370	103042	58306	85225	140902	175847	167589	82447	59319	248980	110692	198276	148456	243815	226805	112384	93274	120737	146593	185915	161272	137870	61398	124831	201773	161626	82234	117121	241708	65412	112146	71896	220851	81082	159259	170447
Bacteria	Firmicutes	Desulfitobacteriia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	Desulfotomaculia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0
Bacteria	Firmicutes	Negativicutes	8	37	140	50	66	628	28	87	92	210	765	124	187	329	184	117	578	126	1125	0	26	60	39	472	1362	18	175	1252	1277	176	607	364	85	375	190	592	577	4	695	66	546	44	352	123	111	315	417	378	340	51	1244	372	434	270	308	60	114	790	677	67	16	133	457
Bacteria	Firmicutes	Syntrophomonadia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	Thermoanaerobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
Bacteria	Fusobacteriota	Fusobacteriia	0	13	0	0	0	9	0	27	0	0	0	0	0	0	0	69	0	0	0	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0
Bacteria	Patescibacteria	Dojkabacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Patescibacteria	Saccharimonadia	0	71	46	30	4	205	0	42	43	417	26	28	0	50	25	348	59	196	91	887	711	2335	890	1735	2283	685	2504	7340	37	4	0	760	422	22	408	7713	3388	1461	3248	1178	6	0	44	23	45	547	72	252	179	28	184	11	250	3	251	951	0	66	34	1000	111	184	116
Bacteria	Planctomycetota	Planctomycetes	0	0	0	0	6	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	124	219	978	61	1602	1618	130	778	367	2	149	333	809	36	139	74	37	0	700	570	57	99	242	16	168	341	413	25	21	32	16	60	158	25	192	2039	15	76	49	3	15	15	4	10	37	15	17	25	58	28	26	10	16	0	6	82	0	12	10	3	0	229	34
Bacteria	Proteobacteria	Gammaproteobacteria	3034	2923	7660	10434	42691	34931	3180	6331	6042	1156	10748	31559	25863	3140	8211	14830	212	430	16364	1130	1204	770	4722	118	2417	2236	1555	192	4113	683	145	2754	301	164	26611	37047	152	1639	232	57	210	10	4324	0	224	1107	1956	68	271	775	155	529	92	89	1155	1728	3	2022	946	54	54	1429	75
Bacteria	Spirochaetota	Spirochaetia	221	107	118	90	2287	66	61	266	221	506	4758	591	11	394	162	522	0	704	451	62	50	722	346	134	64	31	268	37	11	383	83	1058	1716	0	87	40	895	33	503	112	200	844	63	95	41	2567	8488	480	232	76	157	129	1775	348	0	3991	31	831	162	157	39	1825	507
Bacteria	Synergistota	Synergistia	0	0	0	0	0	0	0	0	9	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	25	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Verrucomicrobiota	Chlamydiae	17	169	0	15	6	6	9	27	41	22	7	7	0	19	15	38	0	86	7	17	6	0	13	6	26	15	20	89	8	7	16	321	30	29	0	40	0	76	181	0	5	7	22	10	36	23	231	31	13	2	60	26	27	37	37	113	0	124	10	4	18	81	8
Bacteria	Verrucomicrobiota	Kiritimatiellae	0	7	12	0	7	0	0	0	0	0	35	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0
Bacteria	WPS-2	Unclassified	0	0	0	68	0	0	0	26	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Unclassified	Unclassified	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
