Kingdom	Phylum	0-12	0-13	0-22	0-23	0-32	0-33	0-42	0-43	0-52	0-53	0-62	0-63	0-72	0-73	0-82	0-83	21-11	21-12	21-13	21-21	21-22	21-23	21-31	21-32	21-33	21-41	21-42	21-43	21-51	21-52	21-53	21-61	21-62	21-63	21-71	21-72	21-73	21-81	21-82	21-83	35-11	35-12	35-21	35-22	35-23	35-31	35-32	35-33	35-41	35-42	35-43	35-51	35-52	35-53	35-61	35-62	35-63	35-71	35-72	35-73	35-81	35-82	35-83
Bacteria	Fibrobacterota	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	175548	166097	198363	196039	186335	225941	285088	273004	265115	118824	337988	300125	290073	308127	265598	257841	108904	165895	242556	195610	255233	287237	212671	274793	303064	197372	244635	296671	202705	174423	167112	277490	232724	246305	182174	141723	277082	251760	220121	301799	269294	234047	294381	252745	273477	257659	223760	236625	251233	247820	290457	227637	192257	105923	305432	273879	281285	297834	233771	377811	276272	226478	286518
Bacteria	Fusobacteriota	0	13	0	0	0	9	0	27	0	0	0	0	0	0	0	69	0	0	0	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0
Bacteria	Patescibacteria	0	71	46	30	4	205	0	42	43	417	26	28	0	50	25	348	59	199	91	887	711	2335	890	1735	2283	685	2504	7340	37	4	0	760	422	22	408	7713	3388	1461	3248	1178	6	0	44	23	45	547	72	252	179	28	184	11	250	3	251	951	0	66	34	1000	111	184	116
Bacteria	Planctomycetota	0	0	0	0	6	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	3158	3142	8638	10495	44293	36549	3310	7109	6409	1158	10897	31892	26672	3176	8350	14904	249	430	17064	1700	1261	869	4964	134	2585	2577	1968	217	4134	715	161	2814	459	189	26803	39086	167	1715	281	60	225	25	4328	10	261	1122	1973	93	329	803	181	539	108	89	1161	1810	3	2034	956	57	54	1658	109
Bacteria	Spirochaetota	221	107	118	90	2287	66	61	266	221	506	4758	591	11	394	162	522	0	704	451	62	50	722	346	134	64	31	268	37	11	383	83	1058	1716	0	87	40	895	33	503	112	200	844	63	95	41	2567	8488	480	232	76	157	129	1775	348	0	3991	31	831	162	157	39	1825	507
Bacteria	Synergistota	0	0	0	0	0	0	0	0	9	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	25	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Verrucomicrobiota	17	176	12	15	13	6	9	27	41	22	42	7	0	19	15	50	0	86	7	17	6	0	13	6	26	15	20	89	8	7	16	321	30	29	0	40	0	76	181	0	5	7	22	10	36	23	231	31	13	2	60	26	39	37	37	113	0	124	10	4	18	81	8
Bacteria	WPS-2	0	0	0	68	0	0	0	26	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Unclassified	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
