pathway	0-12	0-13	0-22	0-23	0-32	0-33	0-42	0-43	0-52	0-53	0-62	0-63	0-72	0-73	0-82	0-83	21-11	21-12	21-13	21-21	21-22	21-23	21-31	21-32	21-33	21-41	21-42	21-43	21-51	21-52	21-53	21-61	21-62	21-63	21-71	21-72	21-73	21-81	21-82	21-83	35-11	35-12	35-21	35-22	35-23	35-31	35-32	35-33	35-41	35-42	35-43	35-51	35-52	35-53	35-61	35-62	35-63	35-71	35-72	35-73	35-81	35-82	35-83
ARGDEG-IV-PWY	0.0	1.2777747596023252	0.0	0.0	52.57953744015216	4.271237296135088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.893333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGDEG-PWY	42.354732747200316	0.0	0.0	0.0	215.64853143922727	86.48737660253006	0.0	228.8114214363251	0.0	0.0	0.0	0.0	41.305617152606395	0.0	0.0	0.0	0.0	0.0	90.12703390065094	51.9054346270451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.60391737787997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGININE-SYN4-PWY	85939.99152062395	89635.81604052683	70087.99005452133	93921.88784544915	156125.60550224755	134240.54652555138	85208.1306059949	107896.32214445635	105487.6089021555	34530.48757686797	216217.06110984736	133094.66153696185	153142.4135934587	55517.996541150875	93182.19015981695	78760.66369009957	80565.47862497653	165355.34085718414	219118.6346131389	91074.9686393977	80229.76681183976	167917.08759898925	111861.45689124517	256561.3605098091	178268.47476939866	128595.2515520352	135173.65767534607	182136.95481235872	114385.01153963065	76469.80984616005	95269.76718158345	159797.7719290922	157269.54074347764	200707.81032681983	114480.90092042253	97357.30529995677	194336.85032370288	141164.85467600546	149629.70465391094	141956.058148022	253303.5352947373	213173.88139045224	145382.6728677259	116839.02930986515	141415.60580352135	152276.30155079073	134848.2339190787	135535.07488361065	163904.8486785469	84612.70619524516	162002.89209436587	157979.79624373294	142484.2051503797	127407.61078748465	138054.3334821862	186147.18530950748	101088.3085334057	133340.6767738629	93318.43630120183	200164.20023713427	97039.91518649687	148789.5999028679	205173.25947636412
ARGSYN-PWY	116299.52447287373	115971.19973430251	111530.9386140256	127836.74720641047	196655.31951130508	183853.7845711533	136087.75561429388	153043.5807840218	146208.4335978986	56684.78562586608	273871.24957774987	191430.20981585063	201409.44863900135	111583.79524029592	133592.32425565395	138419.87919592654	94672.34697621799	154841.76870442048	230411.85649906355	124802.5093880334	121761.32879042716	208527.4304968106	144922.5172102082	270865.167726418	215512.58400560054	159823.920637541	169016.77871468198	201001.61089889266	143146.50327867485	132518.01885669187	129519.81938219316	202394.93325741947	191060.0026861954	215014.541085906	167162.99967086848	147518.1245772118	190080.02133560687	187059.853935557	149892.28959233811	178229.77654069278	277120.5233909047	229204.64737265528	192715.82497167884	144107.04962991938	163329.96439761357	189227.18350010057	177993.06849794337	157039.43432114203	178813.01704839498	114100.7237740995	183201.95959278103	205474.97670994856	169105.66882932314	126852.31887104305	182771.61544225947	241547.85709647287	138906.42118191233	172714.5403543286	135867.22654268242	257545.06994256223	137059.93812867368	179882.06377103316	215006.46977905158
ARGSYNBSUB-PWY	116129.12419089324	117668.10380435665	109831.57615135882	133582.13512301337	210833.57043344842	198143.08421357433	131429.8270753444	152077.59457161746	149194.5072555291	54577.81920878596	273322.0776474904	197078.81239996944	209151.38886995197	109122.25177835414	129748.95508120528	136960.44615628885	104163.12514477235	163493.98450371812	243491.9739401328	120772.85207328731	117005.71070721747	209526.39634493462	143734.225538261	303793.0874014516	205854.44736426443	155674.77760719173	164544.2909056266	202253.36402231868	144112.2898469381	131393.0500284847	98121.97613677777	195141.54380279212	186401.06996999585	207825.12720347504	179014.55491066855	156344.7272453771	188240.3234442426	197859.0132737516	152065.56889280246	163565.8173692902	281636.55451247026	237422.68141021323	194276.87144770508	138352.5408732299	163247.57898608147	188304.70286482124	174624.71961475493	152195.45138648903	178997.5107295259	108628.92599674687	173459.4561648594	204348.50412004947	171166.7061563985	114294.32934352748	175209.90132126916	234902.41388178768	123468.07847587709	170508.66053040762	122893.22892232315	234556.79323960975	133420.33452415396	178589.65890766238	222920.40959911104
ARO-PWY	92945.74789952417	108546.45138515298	83413.66724769474	121349.0422296493	214006.8304462414	189551.8923377063	104848.87942706054	136525.78553229076	129678.9414105548	46230.939576824414	274206.1985050643	173766.3123273491	192345.45444459785	79369.76601334356	91777.76322432302	117934.48058250493	105242.11613676912	167027.31129179968	235263.1689795143	102627.73242073269	83095.21508925778	200287.93429649025	136873.5947420001	288149.64860910695	193119.6553130337	169788.1957960005	145843.38162298079	212778.76828996697	135549.92414544206	110990.47116104834	136111.19034332968	198270.87251308459	203502.74582897715	226657.6024360419	169238.13657002163	147483.20787644447	212640.15383715736	155851.07437995836	166235.0641704513	177408.14584375822	299545.29379914654	246107.2018750434	165024.0680633875	115501.49572997367	133221.0049032479	192763.8241346352	222812.84433735447	163339.96486654045	166502.0611120214	92672.31455389681	151434.34740879282	244673.63457997944	191795.96071324273	142846.26284850697	163454.83257910976	286004.8240357613	90005.74059774575	146035.10924634003	111171.39543191329	283902.7301422906	119725.34365317003	198259.42756782085	196030.2879923906
ASPASN-PWY	18478.427759000886	39233.16751417407	32327.44218914035	49744.60661330755	67285.61869497558	76381.16708605856	15592.722640989372	50224.43099450782	47831.83272844424	9362.692985117736	38638.90851609954	62153.80693396508	82909.18935245169	18469.4348605658	27670.91061158821	48066.360216654364	27211.499661904323	36283.56149957645	113728.71439384422	21266.58858929151	27206.591917935843	84044.87532977875	24548.74415290469	9246.050783301442	47991.73075582799	17216.092504552762	26141.270899224637	38603.52688489216	22789.81124667218	30698.935562453677	8570.769249752762	30108.48117637472	15987.694739817656	128947.60288956465	74685.05585151826	67931.07399535453	52826.20370562088	32356.117166207718	21425.489051882803	55911.38644860428	36206.92591863784	29797.674140554103	56205.09927795704	30691.002585756178	53558.069377989836	33397.047733768035	20234.703809352075	20189.51919163941	28387.525437899665	32826.380221919186	22046.421521683063	20291.17004141638	18514.73235289525	49459.066904899286	43383.330087750495	15995.209598421616	28612.39670001548	29323.12484266017	26727.43281509802	31305.987889996246	41207.698291460845	22656.714215878877	35001.37831037139
AST-PWY	165.58086536042654	129.56286759922952	280.9622596884103	176.4126043722972	1355.661356865747	514.8708969106658	87.82068137954278	438.18919212223295	494.29847350086743	7.732792618842532	558.4217590514716	3371.860245434456	789.818372725423	32.25206590337323	119.17783710871232	148.17376867549518	7.004141092811372	8.117197272645402	74.43930972102686	80.9360418833529	0.0	3.337896557680245	0.0	0.0	55.06172791519339	4.761706799461966	0.0	0.0	22.554145774350232	15.351512718004223	10.130823936017014	62.90077076559914	0.0	37.65690376569038	172.78287656313285	1427.5467808237206	1.0669236159775755	25.898733665494877	7.820234107922912	2.8085106382978724	9.037254227279488	0.0	3.5191281192827932	0.0	0.0	0.0	3.123853547582361	2.223137232940386	0.0	0.0	2.8440366972477062	0.0	10.813724440332457	0.0	16.415628966500115	0.0	0.0	13.228769714354254	0.0	3.655555555555556	3.989437257971492	41.014204475670645	0.0
BRANCHED-CHAIN-AA-SYN-PWY	99163.96486912336	111570.6897248426	88133.65320431296	129328.07624898388	222798.50885331904	199424.40933595787	100161.38931144404	145646.4051377871	136847.78734356543	44572.441653091635	279165.23636583897	178917.0206013233	194642.82337155225	87247.05457410478	104508.99855896234	114516.02520622188	110021.62197413188	174380.88882259824	262085.85210828413	110216.83024583584	94144.68883934627	203805.07225605845	139455.7088658612	305856.29184115404	190732.8518448129	172329.23564242388	159539.11423342882	208637.1330826909	144789.3121357029	116853.590538734	153502.59685075353	200254.45362631237	200368.20026190544	237869.78878833054	171688.64591439505	152106.64506290542	209854.473179948	156105.7672809855	160122.34481039748	162895.53776475633	322419.912261199	278891.2158604125	177372.5319583183	125150.95967454549	149859.2318385809	189183.9065300458	190252.01231861173	160290.9162134423	178857.53327329777	94397.62674042318	162430.39119445495	237605.1165320604	196618.9975502783	153317.439879819	157196.02888388425	268910.35865080997	92694.68073872114	169108.6862949255	122420.79012023903	255723.3152847549	110372.02914071901	188935.6389902982	211484.48848502716
CALVIN-PWY	165132.85395058442	173584.3227095112	162990.08240888367	197210.0365051851	288947.8590429812	271420.8601271435	197872.40238580058	241897.3345999886	238696.71068719274	99329.74988045616	390199.2303056186	309422.39739142876	317999.6436371505	203516.58470024035	180231.70137661352	227826.23979048166	167364.97043517418	240198.84962465873	382680.60082934686	178067.7296950859	173148.50045946887	332147.1700291617	220633.6958936461	399536.9162085912	339284.6491607024	274943.81356741895	211898.77874830755	346687.24347294617	206065.74296675486	186179.7801206073	217248.61531103431	327951.850394576	278618.3873866933	489024.27500015416	274414.4925047995	223896.5256512011	293163.88299139927	279845.7961756913	193655.51849783253	326809.09692288114	372776.2278728869	269546.1075441695	314697.84702618845	221214.81419732378	278071.72299078386	305742.49963687506	326059.0326581975	273509.4655682675	257641.91635712903	193076.76470703495	271861.34685749724	341162.0814047511	232795.74396093565	238195.88930427888	311236.31065624824	403908.20395010273	187809.2397440559	257793.82000476588	221888.35910762745	513720.7102590737	229826.5958101413	283320.2606694185	320867.7262010188
CARNMET-PWY	879.3080786551932	625.8751169622724	477.75856327286635	557.0626558350399	2896.144367310154	1320.4742411260445	360.7844871173317	1199.1013455256416	1486.1849958995715	309.36857294419616	2021.9766882673391	5355.20163038703	1747.9674181426521	423.6662833368146	582.8701855074971	676.0495651729144	2397.9449208018855	361.9105385809249	1361.9303106662626	830.6739789553179	1045.998764862006	1574.483193328632	1829.4105655539654	27.665384964727966	607.6127537877704	2307.494956262387	589.796267275489	74.47896732890295	1563.5947534954894	1232.9382849335318	120.78153211245807	2467.522773196655	742.8539896899914	584.2321089510469	3219.558454149834	499.9820927508118	29.916080828497	2398.0369703884635	158.66957879105684	174.9265261706387	2249.9938270485873	1420.3050252028088	1148.2386357688554	730.8971564304422	816.5550478178723	705.1713265536874	1512.7637245099156	679.2818401493448	1179.3056346642672	590.1601975472286	776.5690994796537	551.730724871732	1856.0294425004304	206.76951690892568	471.70331437976114	1344.2543125042926	377.64173233259714	934.5795007401039	365.972748511831	1449.4244205244527	666.5137295231202	769.3099770111894	269.6438324126978
CATECHOL-ORTHO-CLEAVAGE-PWY	2429.609846131112	2283.299051023854	5217.0415598173895	10139.488094105951	38596.11952382113	36129.04107426766	1838.8164811883694	4000.696030740459	4654.356802179271	740.0450310794959	7716.290328302239	13603.471110243236	13917.520625153924	3333.5885119632057	4277.9270144867505	10776.498525293155	1096.7213541833933	375.22405004686425	20622.63893711528	2535.974281127728	2519.4405441499284	1489.0554557179355	6468.841221688973	156.10634896708743	3016.170716427473	3377.41088496964	2719.6871150634306	252.54029193223266	5533.9370190407335	1949.0581592953945	197.0867900537914	4269.936745210684	930.6339014932206	833.2514143323451	29714.069816243602	27086.494879113412	157.02715982852865	4793.139296496887	357.7245815606982	413.9906764824754	187.77896135809058	121.68659774021194	5841.732445804277	290.7895651129551	748.9586126992815	2146.760924738053	2693.2874871591303	214.974771697234	583.9766054083107	2519.781882311942	660.794229298021	1442.2698899807035	253.82332007831448	18.66219735521654	3817.8738332969656	2360.359269063392	367.3192196942221	1964.4191357881714	1141.739687503345	2123.728179725443	1952.361125929415	3433.1975239189246	89.07986221974568
CHLOROPHYLL-SYN	1387.1598976989744	927.7745131686388	2185.962529003304	1464.4191638722466	2475.8846659869737	2178.0908202999008	1048.7496799220912	1141.6141062246186	2519.977204602187	563.3276698482639	1340.385004525051	2925.1762070424616	1577.2240428319744	864.7123987234933	865.2543281326701	2144.304901281885	208.49353204538195	353.74657078462303	981.4540721703077	2414.800583486657	1583.2279229470819	2249.1102711813814	2987.919801343396	257.96521057731786	4246.546534798925	1174.9885410828217	3640.1387896447613	485.6152024347684	2028.7435593521234	519.122788092737	319.75330998267697	4196.995807613611	1035.7826545379362	282.41952061766517	4502.490338690084	1518.9453246332607	318.9718161734446	2546.66111957171	634.5278870287966	126.25670165148891	250.79124870635638	46.97273431953111	1976.5102650425686	29.504990506077124	445.74503760748786	2220.757298247209	2807.84372537272	282.22131673994596	712.8416867799764	462.88825287792196	451.30706626372927	307.94450552452975	197.0015625858666	153.41232698573	821.1231293792883	1109.8909511846425	8.926848196258478	1024.3289276622434	1572.8666959609548	34.96755891356275	94.33596054403145	1518.2529015571452	155.04777884196932
